Well Row,,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,F,F,F,F,F,F,F,F,F,F,F,F,G,G,G,G,G,G,G,G,G,G,G,G,H,H,H,H,H,H,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48,Sample X49,Sample X50,Sample X51,Sample X52,Sample X53,Sample X54,Sample X55,Sample X56,Sample X57,Sample X58,Sample X59,Sample X60,Sample X61,Sample X62,Sample X63,Sample X64,Sample X65,Sample X66,Sample X67,Sample X68,Sample X69,Sample X70,Sample X71,Sample X72,Sample X73,Sample X74,Sample X75,Sample X76,Sample X77,Sample X78,Sample X79,Sample X80,Sample X81,Sample X82,Sample X83,Sample X84,Sample X85,Sample X86,Sample X87,Sample X88,Sample X89,Sample X90,Sample X91,Sample X92,Sample X93,Sample X94,Sample X95,Sample X96
Raw Data (Em Spectrum),598,310,2034,1334,1042,531,325,228,5486,3974,2513,1839,697,223,1969,1625,908,663,347,210,5831,4704,2844,1319,262,221,2265,1464,1050,593,561,199,5989,4304,2536,1404,1018,230,2190,1434,966,643,396,184,6025,4726,2746,1425,918,227,3539,2647,1756,1066,526,266,4782,3818,2077,1076,581,210,3790,2082,1499,933,528,191,4945,3572,2302,1020,598,496,3821,2872,1967,1063,665,208,4915,4858,2077,1365,630,308,3676,2995,1562,1009,529,217,4798,3886,2714,1858,611
Raw Data (Em Spectrum),599,354,2084,1432,1027,572,404,237,5687,4167,2724,1921,728,233,2126,1646,941,687,367,224,6289,4833,2835,1332,267,218,2323,1381,1078,662,534,203,6336,4274,2730,1358,1020,260,2210,1535,999,694,376,246,6178,5028,2854,1565,980,207,3634,2677,1832,1108,502,248,5179,3855,2058,1116,666,216,3966,2028,1503,990,544,222,5249,3589,2449,1038,670,532,3864,3021,2003,1123,768,218,5106,4929,2084,1518,611,363,3695,2965,1714,1006,574,213,5077,3994,2886,2032,625
Raw Data (Em Spectrum),600,335,2114,1432,1034,623,387,274,5989,4336,2712,2055,769,251,2165,1653,983,720,417,238,6755,5033,2933,1495,251,229,2320,1484,1152,668,588,267,6624,4447,2679,1501,1007,251,2283,1682,1051,697,398,257,6515,5268,2927,1623,1051,200,3767,2912,1965,1164,583,242,5340,4074,2272,1164,627,282,4152,2144,1783,922,619,253,5479,3790,2523,1183,691,528,4192,3194,2150,1129,771,240,5191,5163,2259,1607,676,316,4112,3192,1708,1026,647,204,5334,4380,3081,2045,646
Raw Data (Em Spectrum),601,393,2265,1530,1101,643,468,235,6165,4532,2808,1970,724,221,2180,1803,1064,710,385,244,7051,5421,3060,1495,273,225,2325,1543,1199,693,495,231,6610,4718,2813,1557,1030,283,2344,1690,1105,716,416,256,6712,5417,2983,1678,1016,219,4122,3096,2090,1255,554,250,5478,4320,2259,1258,627,219,4289,2276,1732,1026,610,221,5752,3941,2559,1203,670,570,4309,3244,2146,1232,700,235,5432,5344,2521,1655,699,310,4208,3277,1974,1020,618,241,5538,4366,3077,2040,749
Raw Data (Em Spectrum),602,369,2299,1472,1082,597,408,257,6560,4760,2900,1962,776,248,2132,1775,1067,710,423,283,7231,5646,3187,1515,254,232,2387,1603,1215,759,542,254,7280,4768,3009,1623,1110,263,2494,1716,1020,727,466,265,6917,5544,3222,1802,1073,207,4257,3169,2143,1217,597,238,5691,4329,2397,1201,714,238,4544,2467,1755,1155,638,238,6032,4127,2740,1233,704,585,4458,3321,2362,1250,784,257,5979,5361,2459,1677,686,296,4472,3387,1921,1096,696,216,5802,4530,3269,2147,747
Raw Data (Em Spectrum),603,328,2296,1538,1196,645,405,247,6684,4558,2929,2060,823,255,2260,1843,1010,783,407,261,7370,5594,3265,1629,303,253,2468,1687,1165,757,617,241,7180,5001,2982,1558,1192,263,2531,1774,1105,817,467,279,7235,5721,3273,1847,1074,263,4279,3170,2153,1210,560,241,5873,4677,2561,1319,728,251,4779,2359,1877,1111,649,245,6249,4194,2814,1240,718,542,4546,3530,2308,1273,789,247,6069,5632,2371,1679,785,320,4528,3458,1971,1105,635,202,5897,4550,3429,2066,706
Raw Data (Em Spectrum),604,345,2415,1615,1154,593,491,263,6886,4928,2860,2072,788,255,2423,1890,992,756,453,230,7483,5764,3189,1722,293,238,2587,1639,1325,713,591,257,7417,5110,3223,1549,1243,263,2563,1908,1114,812,449,255,7353,5908,3271,1730,1086,261,4722,3369,2221,1309,615,271,6231,4712,2671,1359,738,226,4672,2621,1858,1208,655,218,6263,4161,2934,1331,697,561,4768,3537,2437,1343,794,249,6175,5830,2557,1712,738,363,4746,3778,2086,1152,721,196,6117,4846,3483,2291,816
Raw Data (Em Spectrum),605,364,2563,1674,1176,645,478,250,7011,5006,3071,2103,842,250,2331,1985,1076,832,466,234,7766,6069,3391,1662,315,244,2569,1674,1257,751,594,258,7825,5238,3155,1731,1210,260,2740,1951,1094,773,470,258,7571,5897,3478,1829,1129,252,4446,3531,2467,1353,681,238,6509,4961,2608,1432,742,254,5097,2683,1829,1133,728,216,6625,4438,2966,1247,824,545,4945,3773,2624,1371,834,254,6401,5913,2768,1855,767,352,4882,3777,2115,1180,730,226,6411,5014,3525,2225,842
Raw Data (Em Spectrum),606,383,2418,1654,1256,643,443,202,7133,5137,3053,2066,838,286,2352,2010,1081,787,470,288,7648,6031,3425,1670,299,235,2680,1635,1256,814,620,274,7759,5199,3285,1664,1242,284,2756,1883,1174,807,523,276,7654,6134,3442,1800,1102,231,4824,3580,2418,1335,647,245,6657,4974,2816,1380,750,231,5028,2777,2008,1230,713,292,6793,4587,2976,1298,711,575,5005,3850,2589,1345,810,264,6622,6004,2919,1862,857,348,4783,3934,2126,1242,700,220,6624,5288,3584,2117,814
Raw Data (Em Spectrum),607,347,2561,1575,1278,685,470,257,7436,5232,3183,2176,838,246,2438,1947,1174,815,501,276,7835,6007,3455,1631,267,259,2694,1759,1347,808,581,255,7864,5439,3277,1673,1318,274,2755,1907,1193,929,518,265,7904,6216,3465,1909,1074,226,4881,3720,2448,1389,658,240,6953,5251,2899,1387,750,251,5337,2795,1980,1328,733,255,7093,4712,3135,1331,819,541,5266,4010,2580,1418,871,261,6655,6011,2845,2014,831,345,5178,4075,2283,1282,733,211,6711,5172,3858,2323,854
