A10,609,591,680,687,751,791,903,927,1041,1097,1225,1237,1498,1475,1586,1698,1826,1978,2086,2079,2141,2155,2463,2426,2387,2530,2544,2699,2661,2708,2716,2867,2918,2881,3061,2999,3161,3149,3312,3470,3961,4031,4608,5511,6159,7469,8767,10381,12749,15556,19144,23987,29994,37384,46410,57720,70727,86689,105205,125911,148913,173705,199014,223020,247920,271484,291426,311828,326594,336854,341313,346947,345344,339941,332803,319794,308080,293186,277179,261264,244538,233913,219139,203935,189151,178181,161197,152615,140577,129512,121661,114401,104002,97976,91447,86572,79817,76362,74912,70980,68387,66202,64893,61888,61838,62131,60160,62740,60828,59928,60729,63218,63618,64558,68942,68496,71677,73682,75115,77603,81866,85642,88082,94368,98634,101867,105710,111545,114537,117560,123030,120953,128907,128204,130389,131312,130823,128025,127221,126912,124526,116273,112985,112741,109587,98992,93996,88184,79335,72800,73648,60017,62342,51584,51036,44700,41669,41038,38226,37385,31555,,14364712
A11,2565,2606,2495,2533,2702,2640,2542,2667,2668,2779,2593,2708,2577,2660,2610,2708,2652,2539,2591,2673,2756,2784,2732,2683,2820,2770,2832,2818,2888,3018,2815,2936,2848,2995,3131,3084,3049,3046,3200,3185,3422,3318,3933,4176,4391,4748,5576,6208,6930,7987,10032,11817,14652,17359,21018,25848,31029,37791,45721,53988,64236,73652,84770,96422,106153,117110,124541,132360,139462,143477,146565,148658,149103,144962,144377,138026,133248,127387,120228,113950,106263,101871,94978,88674,84005,77881,71264,66493,61536,57929,52594,49156,45670,42668,40029,39059,36050,33882,33109,31683,30851,29614,28448,28731,28326,27535,27168,27902,27194,27568,28259,28879,28228,28217,29738,30930,31549,31611,33830,34061,36309,38392,39742,41312,42223,42573,46978,47985,49317,50159,51914,54018,53777,54236,56910,58227,57031,57413,56665,55403,57665,54745,51937,48118,47552,42633,39852,41188,38463,35766,32150,29746,29854,24289,22832,22286,19964,22410,19554,19001,14831,,6388382
A12,283,301,313,289,298,321,332,346,375,434,426,430,480,528,539,587,605,616,626,692,750,702,780,749,731,781,801,850,858,821,877,750,891,884,857,878,911,866,990,1067,1029,1196,1118,1469,1499,1788,2105,2476,3021,3786,4514,5694,6780,8747,10447,12891,15917,19385,23605,28381,33357,38539,44840,50261,55982,60921,66497,69867,74122,76480,76553,78039,78636,77502,74816,71765,68641,67376,61976,59085,55988,51898,49254,45973,42965,40087,37175,34771,32370,29277,26784,25415,24493,21864,21521,20392,18852,18168,17164,17029,15668,14580,14805,14183,14191,13687,14567,14296,13825,14174,14253,14669,15260,15535,15508,16439,15507,16884,18387,18510,20230,19086,19985,22094,22564,22110,25319,26810,26980,26930,28222,26715,27654,31156,29872,31229,29570,31126,30379,30275,26949,28951,25793,27485,23311,23577,21187,22266,21873,21245,18900,16082,15366,14920,14529,12168,14604,14006,12056,11277,11675,,3329612
B1,127,125,144,140,136,125,137,116,142,123,173,153,169,187,164,199,205,211,199,203,280,239,215,241,220,244,229,249,259,239,255,229,191,238,225,228,209,210,184,182,181,181,167,192,176,200,163,208,206,189,263,262,327,321,381,379,550,562,567,689,798,925,984,1077,1307,1330,1488,1624,1472,1734,1678,1822,1869,1741,1690,1674,1606,1652,1496,1491,1383,1330,1199,1121,1023,1069,1054,1014,1044,876,871,841,748,754,790,766,717,884,745,749,839,632,706,758,632,744,787,659,864,847,810,790,783,991,846,1027,958,1020,1013,1028,1182,1069,1139,1305,1391,1485,1511,1575,1572,1716,1724,1845,1838,1835,2017,1964,1898,2200,2075,2664,2491,2553,2453,2874,2943,2826,3111,2992,3151,3021,3184,3363,3512,3470,4029,4099,4019,4342,4411,4943,4891,,185761
B2,847,852,883,915,1090,1041,1224,1279,1324,1324,1452,1499,1604,1696,1688,1877,1864,1980,2095,2114,2163,2128,2163,2387,2497,2382,2338,2580,2743,2658,2585,2716,2828,2685,2899,2966,3080,3095,3327,3508,3652,4186,4699,5198,6268,7260,9070,10639,12974,15708,19677,24304,30877,38359,47951,58238,71683,88042,105822,127702,151382,178227,204432,230440,256983,283860,306415,328291,346481,359945,369504,373848,374297,372156,364816,354145,340156,325466,308433,287394,274354,258572,240907,225008,209988,195508,176733,165713,150992,141557,128376,119466,110670,102951,95229,90187,82506,77475,75646,72266,68156,66076,63769,61468,60362,59986,57891,58691,58464,58811,58262,58586,59703,61051,62404,64857,65728,67583,69590,71759,77663,79499,83413,86983,88928,95314,99531,101115,105836,106727,109881,111391,116174,119118,119727,115194,122759,120436,121918,116679,118013,111639,107167,101836,99209,93017,86177,82375,75350,66952,67690,58650,56525,49271,49693,45981,42607,42159,36756,33214,32028,,14693252
B3,608,626,693,733,781,809,805,862,922,936,1039,1112,1136,1229,1160,1265,1417,1359,1384,1486,1564,1624,1662,1799,1720,1696,1773,1794,1820,1891,1929,1888,1944,2029,2044,2043,2212,2200,2346,2484,2762,2927,3538,3877,4293,5008,6167,7299,9040,11166,14051,17100,21379,26911,33233,40929,50465,60645,75021,88806,105235,123137,142805,160735,179006,198479,214454,229476,241059,252670,255946,262575,263413,258620,255750,244657,237683,226454,216371,201172,189671,178878,167752,155279,145884,137285,121707,114801,105196,97224,87395,83045,77284,71072,65027,61605,58413,53851,51673,51180,48245,45356,43031,42860,41028,41295,40101,41617,40497,41623,40380,41619,41674,42167,44545,45721,45831,48031,49273,50540,54280,55806,57108,60618,59997,63683,67294,71610,71654,72435,76528,77336,79331,79703,81643,80187,86812,82710,83757,82045,82251,76642,72963,69413,68308,62335,55742,55533,51994,49703,44374,45091,39183,36895,36995,33301,32156,27032,25729,25644,22562,,10221177
B4,407,401,391,412,453,545,542,556,571,593,681,675,680,720,828,825,859,892,879,961,969,1008,983,1109,1098,1174,1178,1153,1123,1198,1087,1212,1201,1170,1268,1342,1294,1366,1383,1487,1622,1672,1840,2142,2595,3143,3648,4253,5250,6125,7661,9137,11931,14791,18363,22946,27644,33772,41925,48726,58029,67995,78410,89069,98764,108618,117331,128419,131931,138346,142190,142330,143225,143051,140505,134918,131751,124632,118423,109451,104713,98502,92783,85528,80100,73449,67216,61634,58607,54084,49939,45621,41246,38667,36089,34606,31959,29779,28422,27473,25818,25521,24305,22682,23409,23887,22418,22566,21846,23352,21441,22905,22823,23640,24417,24958,26202,27877,26253,29195,30266,29918,33052,33571,34836,35924,37945,40250,39300,40814,42373,44707,45419,42811,44664,44023,46858,48999,44905,47592,47639,42788,43456,41339,38723,34155,36236,32123,30770,27580,28247,23965,22171,21860,22954,19340,18758,17648,15144,15294,13884,,5681481
B5,292,295,328,290,320,330,304,364,349,393,413,447,406,472,487,538,554,517,567,566,623,614,605,647,655,673,678,681,648,773,692,766,765,715,742,732,784,776,791,842,861,920,1005,1156,1348,1574,1724,2071,2447,3160,3962,4410,5878,7444,9045,10920,13487,16794,20059,24303,28410,32975,38298,43673,48619,53865,58256,62119,64735,66987,67913,69879,69993,69127,67532,66204,63749,60932,57876,53604,50909,47716,43645,41041,38807,35693,33318,30982,28025,26350,24370,22274,20171,18875,17946,16604,15753,15277,13968,13707,12982,12722,12140,11368,10636,11061,10861,11958,11021,11024,11187,11085,11497,11909,12291,12458,12321,12733,12716,13996,14608,15412,16369,15807,16073,18172,18503,17815,20363,18996,21407,21347,22885,23585,23292,23321,22559,23867,23288,22161,21776,21831,21447,21296,19981,21316,20767,16809,15478,14911,15099,14295,14488,11913,12332,11271,9915,9944,11468,9578,11044,,2819934
B6,232,193,224,210,212,213,227,249,246,297,267,299,320,305,307,365,399,354,398,403,419,450,435,471,475,472,443,535,531,493,515,504,506,519,480,525,489,473,525,506,573,552,626,681,755,867,1098,1198,1328,1667,2108,2499,3151,3925,4642,5552,6966,8463,9903,12515,14268,16821,19440,21818,23772,27306,29060,31034,32516,33665,34902,35269,34190,34483,33862,32968,31057,30770,28693,26932,26454,24692,22470,20317,19533,18158,15979,15409,14640,13279,12698,11338,10547,9996,9195,8659,8003,7562,7250,7181,6892,6393,6429,6198,5943,5983,5536,5963,5885,5656,5585,5901,6093,5964,6558,6850,6484,6911,8276,7625,7383,8090,8057,8956,9860,9231,10007,10990,10529,11443,11024,10820,11508,13857,12775,13499,12756,13528,12163,12170,11559,12427,11775,12822,11462,10577,10341,9945,9917,9453,10374,8409,7024,7865,8425,7044,7503,7003,6616,6334,8520,,1481907
B7,157,148,128,157,142,142,110,170,165,169,180,187,189,218,215,224,219,226,262,271,259,273,294,324,289,315,305,315,323,308,310,320,295,327,329,325,297,278,241,271,279,250,261,277,291,334,274,345,379,384,441,546,605,646,772,1020,1115,1257,1494,1930,2142,2554,2930,3243,3563,3950,4066,4362,4729,5106,4889,5029,4956,4979,4708,4682,4495,4354,4360,3722,3586,3249,3414,3139,3199,2739,2658,2476,2395,2260,1940,1933,1958,1804,1807,1634,1603,1364,1513,1380,1337,1440,1424,1299,1251,1182,1452,1350,1549,1236,1550,1397,1528,1466,1815,1584,1716,1508,1665,1756,1708,1837,2249,2254,2380,2163,2317,2415,2742,2632,3127,2684,3238,2983,2737,3274,3004,3685,3805,3209,3001,3762,3785,3242,3563,3472,4036,3432,3337,4288,3903,3679,3512,3585,4151,4483,4019,5042,4705,5098,5364,,318854
B8,1127,1289,1257,1474,1552,1666,1820,1908,2228,2325,2616,2791,2963,3183,3414,3694,3728,4227,4265,4477,4731,4994,5213,5203,5451,5695,5805,5850,6047,6180,6432,6526,6518,6582,6991,6843,6986,7185,7716,8231,8813,9992,10991,12927,14885,17826,21086,25142,30891,37829,47449,58796,73474,93528,113925,140687,171534,209576,256260,305151,359545,418942,483369,540097,599107,661408,707370,754586,790048,812659,826127,839381,834476,826867,806990,778632,749379,718019,682336,636135,601858,569227,538272,498414,465874,439076,400761,373767,345603,319948,297373,277556,258800,241638,226606,211805,199301,190567,183656,176438,168269,163193,155371,153265,150667,151579,150074,148674,149974,151404,153029,153882,157871,161158,164054,169036,175972,180321,189248,192352,204902,213240,221258,233874,242397,255150,259540,271915,280000,295044,295889,313287,313078,321197,318456,327801,329009,323142,314797,318188,306271,298576,285265,277653,258362,240456,227675,203033,195743,187700,161984,151251,137307,125838,116968,109510,101827,91180,90420,80795,67843,,35087172
B9,982,966,1049,1074,1168,1358,1400,1538,1648,1813,1955,2189,2286,2462,2538,2868,3027,3196,3242,3444,3672,3647,3815,4083,4000,4408,4494,4578,4472,4599,4632,4977,4950,5189,5045,5197,5254,5480,5733,6101,6726,7386,8060,9597,11263,12647,16020,18898,22766,28299,34942,43066,54815,68065,85192,104995,126909,155036,189146,225007,266875,310245,358565,404757,446031,491353,525125,561107,585136,608480,617706,623823,621450,613012,601716,579034,558500,530366,504547,473099,446120,421183,399377,369512,348688,323981,296240,276308,256948,236270,218090,206171,192451,177183,167575,157776,147857,141289,135856,130475,123427,119391,116287,115209,111830,111451,108959,110666,112558,111424,109266,112558,116560,118555,121963,125327,128403,130944,138697,147932,151174,156393,166570,174352,178382,189918,193522,197750,206518,217917,221726,223369,229809,224654,234604,243333,238508,233777,241415,231420,226510,225897,205013,200134,192919,177476,167057,155157,143841,133417,118946,106369,104160,98773,91083,82356,73155,70591,64838,61330,55063,,25994244
B10,602,609,611,712,751,772,868,933,1030,1137,1235,1287,1382,1456,1657,1753,1866,1923,1965,2107,2135,2215,2494,2339,2575,2610,2628,2780,2801,2742,2867,2980,2790,2966,2922,3277,3310,3310,3377,3817,3869,4241,4898,5626,6329,7634,9172,10806,13159,16241,20682,25096,31932,39428,49121,60357,72751,89814,109841,130808,155424,179944,207676,233249,260442,285526,305117,324299,339385,351902,357069,363557,361296,356085,350406,335200,324046,309353,293850,274674,260080,247110,231114,214934,202127,188262,170981,162309,146921,137662,127299,119449,109821,104173,96819,89768,85015,82397,79971,74629,71851,70308,66801,65664,65083,66232,64108,65188,63485,63383,64411,66252,64821,69671,67581,72221,73838,75143,78880,81892,85781,89508,91811,101871,103827,107257,109538,116060,119728,119772,126718,128586,133239,127882,135191,135644,136674,135669,134485,138840,130721,125610,122797,115984,110052,105290,92903,88624,85823,76308,72004,63590,59598,55979,58118,43804,44750,43979,40138,36613,33290,,15053606
