,,A 1-6 Tetraphenyl porphyrin ,,,,,,A 7-12 C7SHU,,,,,,B 1-6 Tetraphenyl porphyrin ,,,,,,B 7-12 C7SHU,,,,,,C 1-6 Tetraphenyl porphyrin  ,,,,,,C 7-12 C7SHU,,,,,,D 1-6 Tetraphenyl porphyrin ,,,,,,D 7-12 C7SHU,,,,,,E 1-6 C5SHU,,,,,,E 7-12 C8SHU,,,,,,F 1-6 C5SHU,,,,,,F 7-12 C8SHU,,,,,,G 1-6 C5SHU,,,,,,G 7-12 C8SHU,,,,,,H 1-6 C5SHU,,,,,,H 7-12 C8SHU,,,,,
Well Row,,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,F,F,F,F,F,F,F,F,F,F,F,F,G,G,G,G,G,G,G,G,G,G,G,G,H,H,H,H,H,H,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48,Sample X49,Sample X50,Sample X51,Sample X52,Sample X53,Sample X54,Sample X55,Sample X56,Sample X57,Sample X58,Sample X59,Sample X60,Sample X61,Sample X62,Sample X63,Sample X64,Sample X65,Sample X66,Sample X67,Sample X68,Sample X69,Sample X70,Sample X71,Sample X72,Sample X73,Sample X74,Sample X75,Sample X76,Sample X77,Sample X78,Sample X79,Sample X80,Sample X81,Sample X82,Sample X83,Sample X84,Sample X85,Sample X86,Sample X87,Sample X88,Sample X89,Sample X90,Sample X91,Sample X92,Sample X93,Sample X94,Sample X95,Sample X96
Raw Data (Em Spectrum),655,588,339786,240233,133893,65023,22731,392,834236,583570,319794,138026,71765,1674,354145,244657,134918,66204,32968,4682,778632,579034,335200,192307,69676,2447,368347,234818,130942,59350,25335,5942,857924,625643,321300,173424,77533,3606,341528,239522,123544,89226,39867,15327,857056,601087,327191,168580,65684,4396,775440,538797,294319,150811,71748,13199,778520,596052,318942,171688,66608,6356,761670,519286,307490,165617,73809,9123,937782,555183,300221,138513,70729,8266,778291,580697,330770,184120,46072,6306,811533,641962,313415,203261,58902,6664,689210,597155,339920,179046,92917,9867,777753,600146,327175,179668,66759
Raw Data (Em Spectrum),656,650,327672,232417,129898,62736,21819,524,799004,562558,308080,133248,68641,1606,340156,237683,131751,63749,31057,4495,749379,558500,324046,185175,65982,2412,355449,226909,127394,57424,24559,5635,819839,601984,310256,165053,73016,3396,335557,230005,118289,86771,38137,14809,825825,578351,314578,162809,63404,4144,746024,516605,285432,145617,69378,13434,747393,576838,306791,165341,63381,6107,736999,501198,295343,158705,71226,8449,901085,533308,285161,132385,68371,7856,744924,557758,319574,176547,43990,5934,780298,613789,298670,194050,56929,6475,669468,577333,328334,173503,88279,9618,746553,574731,314992,171344,65119
Raw Data (Em Spectrum),657,625,312793,223315,124538,60502,20875,437,763782,535641,293186,127387,67376,1652,325466,226454,124632,60932,30770,4354,718019,530366,309353,176950,63157,2148,339368,215827,121812,54932,23595,5322,786398,576076,293581,159066,70532,3322,317507,220654,113834,82545,35886,13948,787902,553820,301806,153892,59605,4431,713252,494799,269762,138515,65517,12373,714821,551672,294826,156175,60968,5977,699652,479004,281657,151685,67936,8443,861845,507921,274464,125812,64526,7676,712591,533417,304367,167923,42087,5576,742559,589434,285639,185187,55233,6355,641026,550586,314899,164990,84604,8963,713919,551029,301482,164677,61369
Raw Data (Em Spectrum),658,660,298641,209540,117285,57186,20057,466,722160,507775,277179,120228,61976,1496,308433,216371,118423,57876,28693,4360,682336,504547,293850,168051,59802,2126,322410,206827,113239,51893,21995,4875,744827,545655,278602,148927,66918,3161,300354,207760,109218,79108,35257,13293,749200,522303,283331,146250,57210,3967,672701,468618,255190,130081,62224,11609,676414,519814,278971,147952,56853,5250,661849,455198,267077,143525,63678,7921,813846,480009,261536,119852,61455,7110,677728,508811,285439,159833,39715,5450,704447,557536,269996,177438,51166,5971,607286,523024,294716,156030,79738,8242,676214,525010,283095,153444,58421
Raw Data (Em Spectrum),659,640,278371,194952,109718,52715,18351,472,679411,474299,261264,113950,59085,1491,287394,201172,109451,53604,26932,3722,636135,473099,274674,158102,55605,1982,301606,192180,106263,48663,20426,4866,699228,508334,261668,138595,61173,3033,279937,195095,101248,73122,32053,12453,700266,490655,267267,136551,53523,3697,631524,440786,238377,122159,58326,11316,639118,487777,259580,138981,53747,5257,619270,421248,250227,134053,59948,7382,762178,453295,243274,112956,57506,6587,632295,474336,269597,149271,37521,5232,661986,522881,254558,162824,47943,5910,567369,486789,279440,145735,76329,8271,630294,490375,265303,144934,54561
Raw Data (Em Spectrum),660,589,259247,185176,103381,51281,17149,487,640511,452114,244538,106263,55988,1383,274354,189671,104713,50909,26454,3586,601858,446120,260080,149821,53157,2011,286111,181583,101050,45831,19454,4521,660471,486143,247913,132352,59356,2773,267521,183716,95518,70050,31429,11546,663635,462975,251185,130802,50423,3477,600104,415126,224904,115990,55226,10201,601506,462309,245511,131372,50346,4944,589864,403504,236168,127594,55584,7006,722728,427338,229758,105187,53964,6839,598381,446786,257506,140728,35144,5065,624841,491542,240068,156013,45210,5565,538852,464832,263339,139159,70281,7614,601865,463032,252889,138346,50909
Raw Data (Em Spectrum),661,543,248440,175576,98800,47769,16466,470,609584,427476,233913,101871,51898,1330,258572,178878,98502,47716,24692,3249,569227,421183,247110,142300,51329,2005,268889,170400,95650,43315,18861,4388,624501,454981,236243,124140,54956,2700,251193,175403,89469,65181,28795,11720,629253,437251,237957,122784,47444,3355,568102,394876,212511,110004,52884,10159,573350,438773,232530,125391,47875,4811,560717,380661,222590,119799,54221,6684,689893,404538,217501,102407,51567,6128,571703,424955,240286,134418,33156,4838,593171,471691,227805,148270,43540,5036,510910,434055,248956,132506,67471,7267,569816,439448,238586,130447,49231
Raw Data (Em Spectrum),662,600,233206,163976,91618,44259,15600,429,575191,401053,219139,94978,49254,1199,240907,167752,92783,43645,22470,3414,538272,399377,231114,134057,47203,1942,251723,161032,88503,40585,17543,3946,589053,431068,221354,120045,53214,2658,238222,165012,83467,60942,27029,10577,594028,415147,226425,115976,44736,3251,532888,371182,200513,102788,48879,9555,537230,410479,219828,116998,45533,4648,527123,356542,209809,112698,50501,6120,649287,383327,206197,94535,48348,5691,534422,400896,226057,125081,31827,4566,557403,441693,215411,139434,40762,4723,481228,412094,235421,123248,62653,6638,538163,411406,225130,123555,45663
Raw Data (Em Spectrum),663,476,214640,152350,84638,41986,14306,371,531993,372378,203935,88674,45973,1121,225008,155279,85528,41041,20317,3139,498414,369512,214934,124908,43969,1744,232155,151054,83335,38224,16506,3811,550762,403007,206800,109986,49265,2508,218248,152483,79433,57750,25151,10187,551056,387777,208615,106679,41993,3090,498540,346225,186812,96822,45013,9101,500544,382536,203633,109264,42435,4239,488073,333229,197938,105614,46989,5794,602809,353770,191744,88548,45244,5773,503577,373597,208412,116221,29684,4021,523880,412192,200859,129336,38098,4561,450283,383748,217127,115941,58758,6130,498904,383531,207129,113313,43023
Raw Data (Em Spectrum),664,540,200067,141157,78385,38605,13308,440,500661,350295,189151,84005,42965,1023,209988,145884,80100,38807,19533,3199,465874,348688,202127,115672,40284,1535,219096,139262,77694,34462,15246,3610,518061,372149,193669,103784,44924,2162,204469,141978,72549,53074,24008,9525,511533,361982,194389,100700,40075,2832,464829,323117,174863,90296,41927,8603,470038,360728,188697,102112,38850,3739,460571,310710,185447,99965,44420,5317,563872,333406,178862,83069,42381,5202,469729,348782,199375,108503,27618,3790,488131,386285,185606,122179,36127,4359,422390,359820,202639,107811,55134,5670,469145,361247,195398,106637,40263
Raw Data (Em Spectrum),665,468,187795,132237,73776,35336,12100,445,466417,326891,178181,77881,40087,1069,195508,137285,73449,35693,18158,2739,439076,323981,188262,108080,38966,1537,204825,130396,71757,33094,13697,3355,478310,348642,180512,94903,43020,2457,190052,132845,67236,49159,21944,8530,482883,334700,182769,93203,37504,2502,434177,303685,163483,84295,39642,8092,438393,335717,180408,94940,36992,4053,428193,290389,174982,92171,41142,5211,530609,311234,166489,77183,39575,5018,436849,328309,185479,102750,26287,3786,457502,363868,176273,113678,33495,3994,394208,337737,190193,101688,50763,5568,439937,338850,182019,99447,37445
Raw Data (Em Spectrum),666,420,169415,119156,67002,33188,12061,390,427189,296904,161197,71264,37175,1054,176733,121707,67216,33318,15979,2658,400761,296240,170981,96990,35373,1489,184760,117720,65887,29277,13031,2956,435446,319934,165970,87786,39344,2055,172272,118850,61717,44370,19867,8402,438501,307483,167147,84998,33417,2505,399654,275609,150129,77826,37007,7409,400448,305673,163137,87763,34303,3666,392695,265229,155552,84349,37358,4797,479343,284049,152466,70913,36052,4499,396369,296874,169163,93904,22968,3315,417176,327870,159058,102008,29972,3697,359637,305337,172577,92858,46914,5186,398347,306399,167987,90230,34357
Raw Data (Em Spectrum),667,535,158999,112215,62837,30086,10810,503,396039,278816,152615,66493,34771,1014,165713,114801,61634,30982,15409,2476,373767,276308,162309,90620,32350,1502,171326,110470,61210,27696,12232,2869,410134,302290,153016,82687,35943,1934,160123,110894,58600,40526,18781,7791,410771,285883,157749,81477,31863,2437,372934,257519,139549,70903,34614,6942,376220,283069,151876,80014,31808,3577,365473,249485,144895,78851,35007,4560,448538,263958,142513,66280,34528,3994,373806,277283,157442,87915,21564,3294,388122,309161,149085,96822,28270,3852,335938,286009,162914,87011,44205,4953,375913,290608,154581,84637,32161
Raw Data (Em Spectrum),668,477,146856,102938,57894,28219,9881,421,364628,261707,140577,61536,32370,1044,150992,105196,58607,28025,14640,2395,345603,256948,146921,85879,30355,1424,157790,100534,55450,25184,11289,2800,381946,275666,143239,75844,34005,1902,147180,102331,52796,38181,17205,7211,378726,265211,145335,74444,29279,2185,346331,238311,131820,66003,30930,6563,347933,265518,142915,76459,29837,3253,338513,230502,135454,71959,32710,4062,417780,244477,130857,60654,31092,3771,344542,258656,145869,80635,20555,3108,355799,284390,138869,89172,25807,3383,311120,266149,151065,79534,40487,4467,344874,268747,146152,78482,28858
Raw Data (Em Spectrum),669,517,133825,95531,52641,26575,8875,459,339992,241408,129512,57929,29277,876,141557,97224,54084,26350,13279,2260,319948,236270,137662,80241,28635,1243,146061,92378,51965,23430,10210,2811,354722,258758,131406,71150,31588,1401,139155,94980,48971,35667,15881,6756,356607,247797,135568,68872,27242,2010,321066,220972,119303,61549,28935,5789,324602,247731,131155,69306,27034,2886,315869,215225,124591,68539,30587,4070,384942,228972,122873,56377,28435,3328,321458,241225,135626,75395,18759,2611,337481,267032,128086,82510,24923,3153,289486,246680,140322,74436,37518,4121,323593,248206,134358,72509,27492
Raw Data (Em Spectrum),670,552,122609,87352,47585,23784,8362,474,315174,221288,121661,52594,26784,871,128376,87395,49939,24370,12698,1940,297373,218090,127299,73421,26534,1095,134221,84688,47033,21827,9698,2517,324846,237150,120851,65602,29586,1733,125446,88179,45663,32904,14819,5922,325872,228478,123075,63050,24801,1922,297347,203978,110644,57447,26482,5465,295364,227547,120316,66197,25146,2836,293287,198228,116928,62206,27301,3888,357915,211383,114963,53464,26611,3328,296045,220685,124230,69145,17232,2983,308967,245908,118377,76766,23137,2896,265744,227685,129635,67964,34172,3957,297312,228150,124799,67930,25310
Raw Data (Em Spectrum),671,528,115842,82177,45156,22470,7678,447,293995,208292,114401,49156,25415,841,119466,83045,45621,22274,11338,1933,277556,206171,119449,68933,25066,1065,124540,80253,44995,20457,8564,2398,305942,221420,114393,61326,27178,1512,116254,81720,41612,29970,13692,6309,306631,214539,117301,59044,23777,1942,274585,192721,104495,53487,25182,5262,278451,212892,112522,60476,23356,2479,272831,186842,109068,58579,26471,3553,337003,198091,106079,49209,24824,3356,277171,203532,118097,64825,16349,2488,289046,228355,109363,72306,21200,2756,250083,212310,121185,63993,32511,3544,278496,215782,114733,62803,23133
Raw Data (Em Spectrum),672,554,103864,75621,42216,20392,7139,573,273078,193809,104002,45670,24493,748,110670,77284,41246,20171,10547,1958,258800,192451,109821,64298,22821,997,116516,72952,40369,18868,8367,2207,283792,208762,106219,56808,24613,1478,109673,74762,39113,27965,12450,5846,283607,200015,108001,55146,21870,1810,256583,178709,97214,49835,23726,4876,258791,199831,106228,55552,21962,2678,249768,172235,100566,55220,24548,3039,312810,184767,98174,45282,23745,3039,258440,192608,109072,60641,15617,2327,267971,212003,103069,67383,19616,2808,233864,200884,112637,58674,30773,3316,259105,198057,108758,59329,22239
Raw Data (Em Spectrum),673,544,97442,69410,39126,19076,7227,516,256761,179398,97976,42668,21864,754,102951,71072,38667,18875,9996,1804,241638,177183,104173,58879,21806,1002,105853,68895,37970,17625,7686,1881,266614,192754,100783,53275,23831,1403,101681,69114,36214,26122,11925,5032,263979,186129,100039,51700,20451,1747,239146,165649,90501,46878,23267,4650,242296,182166,99934,52635,20097,2492,235289,161391,95160,50392,22847,2998,291103,171655,91217,42505,21215,2692,242144,180992,99151,56464,14455,2225,250756,199065,95943,62708,18942,2845,216041,183656,104221,55051,28012,3198,241246,186501,100965,53867,20584
Raw Data (Em Spectrum),674,474,89906,64997,36276,17304,6578,454,241441,168365,91447,40029,21521,790,95229,65027,36089,17946,9195,1807,226606,167575,96819,55782,20701,938,99644,63782,35881,16652,7536,1807,249559,182192,91456,50173,21985,1136,92888,64118,33995,24415,10923,4444,251900,173214,94805,48128,19289,1630,226429,155189,85817,43862,21096,4168,228888,175792,92197,48731,19457,2262,220453,150607,87871,48227,20859,2756,272117,161352,87684,39881,20464,2489,226211,168809,95437,52760,13491,2153,235071,188226,89906,58874,17175,2370,203584,173935,97126,52266,26459,2943,225490,172355,95703,51160,19743
Raw Data (Em Spectrum),675,602,85909,59441,35199,17033,6290,511,228797,158226,86572,39059,20392,766,90187,61605,34606,16604,8659,1634,211805,157776,89768,52160,18891,939,92291,59818,33463,15348,6985,1920,233698,172838,87992,46635,21689,1123,88727,61217,31768,22557,10793,4442,236976,164373,89268,46329,18309,1460,214286,147412,80262,41091,20137,4146,216492,164240,87307,47197,18309,2236,208517,142173,83927,45584,20004,2726,260329,152364,83162,38048,19820,2338,212877,158348,89697,49719,12774,2185,221843,175258,84356,55356,16379,2308,191402,162606,93067,47626,25059,3033,214562,164393,89625,48892,18166
Raw Data (Em Spectrum),676,506,78847,55440,32043,15985,5894,453,211606,148933,79817,36050,18852,717,82506,58413,31959,15753,8003,1603,199301,147857,85015,49820,17882,1002,87483,55566,31294,14192,5978,1908,222645,161786,82021,44717,19569,1181,81283,56874,30177,21784,10460,4334,218733,153572,83181,42671,17397,1666,198130,136533,75030,38538,18167,3827,201262,155649,83023,43694,17134,1814,194282,131957,78911,41996,19569,2446,243079,142279,77371,35385,18483,2425,199227,149354,85226,46688,12189,2172,207799,165339,77751,51539,15394,2320,178888,152032,86196,45001,23313,2815,200956,156893,82738,45128,16786
Raw Data (Em Spectrum),677,578,75980,53567,30390,14600,4943,589,204960,143602,76362,33882,18168,884,77475,53851,29779,15277,7562,1364,190567,141289,82397,46802,16510,1048,81905,52214,28906,13891,6023,1691,210874,152615,79407,41738,17721,1200,76078,53785,28197,20373,9570,3677,212042,146548,78916,41662,16193,1233,189749,131872,72052,37101,17470,3656,191178,146046,79025,41007,16455,2030,186672,125881,73820,40614,18201,2717,229938,134992,73798,34176,16957,2161,189694,140285,80203,44903,10934,1855,200584,158257,76035,49530,15342,2084,170631,145282,83411,44030,22031,2499,189716,147039,78774,43659,16728
Raw Data (Em Spectrum),678,576,70396,50600,28727,13980,5296,463,194971,136974,74912,33109,17164,745,75646,51673,28422,13968,7250,1513,183656,135856,79971,44819,16758,1005,78108,50036,27779,13054,5533,1750,202672,146019,74190,39986,18316,1005,72541,50736,25949,19886,8718,4031,199793,140599,76798,39060,14962,1378,184865,123672,68002,34825,16272,3580,183532,139391,73456,40844,15696,1807,176937,121323,71649,37422,17119,2767,219012,130052,70079,32680,16419,2281,177084,137675,77431,41804,10818,1841,190590,148210,73061,48500,13980,2315,163037,139131,79587,42402,21715,2608,182008,140949,77826,41668,15730
Raw Data (Em Spectrum),679,480,68653,49554,27028,14011,4900,526,186637,131656,70980,31683,17029,749,72266,51180,27473,13707,7181,1380,176438,130475,74629,43694,15321,889,77658,46899,26631,12479,5392,1836,194122,142697,72898,38525,17765,1193,70009,48712,25906,18151,8468,3614,195221,135235,73845,38151,14970,1485,174813,121025,65506,33870,15824,3322,174357,135142,70688,39192,14713,1766,172099,116277,68232,36607,16537,2246,212379,126206,67237,30385,15555,2012,175222,128194,73752,42221,10409,1766,184169,145059,69366,46045,14175,2035,157223,133212,76196,39297,20257,2316,175900,134299,73424,39928,14491
Raw Data (Em Spectrum),680,608,64983,46021,25758,13383,4777,523,179573,125955,68387,30851,15668,839,68156,48245,25818,12982,6892,1337,168269,123427,71851,41061,15036,1070,70295,45753,26049,11767,5555,1471,183499,135655,69615,36418,16848,1094,66673,46616,24104,17978,8278,3793,186684,129723,68958,36406,13979,1337,167199,116121,63403,32054,15644,3610,168427,128070,70283,36418,14210,1738,162094,111782,65141,36369,15668,2480,199557,120108,63999,30219,15462,2042,167162,125189,70611,39639,10174,1860,175720,136968,67159,43298,12447,1945,150303,129468,73662,37901,19631,2310,165874,129104,70344,37998,14198
Raw Data (Em Spectrum),681,455,62955,43992,25243,12103,4485,493,174400,122588,66202,29614,14580,632,66076,45356,25521,12722,6393,1440,163193,119391,70308,40189,14731,872,68817,44535,24624,11105,5003,1794,181614,130977,66316,36020,16437,1087,64042,44446,23057,17473,7631,3436,178645,125481,68097,34150,13556,1188,161260,113201,61439,32166,14984,2843,162814,123876,65937,35982,14251,1882,158531,107869,62892,33783,15881,2325,196092,116574,61540,29197,14895,2009,161993,120238,68982,38546,9463,1807,169738,133276,63119,41578,11964,1756,144394,123548,68843,36980,19191,2160,164179,125001,68363,36525,14201
Raw Data (Em Spectrum),682,497,60580,42861,24371,12022,4365,536,170085,120259,64893,28448,14805,706,63769,43031,24305,12140,6429,1424,155371,116287,66801,37895,14257,928,65860,43149,23966,11133,4887,1594,174384,127472,65363,34550,15746,1019,64383,42678,21809,16596,7292,3319,174345,121370,66291,34629,13290,1307,153712,108943,57575,31218,14505,2979,155986,118299,65415,35073,13603,1568,153111,105036,61168,33400,14413,2339,189347,114314,59992,27611,15080,1843,157253,116692,65807,37151,9487,1882,164140,129302,62632,40365,11904,1725,139664,122206,68369,36680,18307,2065,157240,120416,67376,35373,13250
Raw Data (Em Spectrum),683,501,58423,41128,23575,11801,4236,568,167096,114627,61888,28731,14183,758,61468,42860,22682,11368,6198,1299,153265,115209,65664,37744,13330,866,64094,41480,22113,10515,4669,1570,170276,125251,62889,34456,14873,1177,59465,41425,22032,16524,6821,3329,168246,117834,64283,33806,12775,1353,151519,105993,56880,29070,14413,3194,153116,117198,61928,33008,13912,1624,150815,101770,59547,33008,14602,2260,185975,110269,57097,27933,13912,2111,152953,112029,65109,36540,8973,1841,158813,125995,60264,40465,12288,2030,136077,116183,65826,35552,18514,2436,154428,116928,64364,35471,13439
Raw Data (Em Spectrum),684,548,58718,40537,22411,11971,4173,590,162202,114331,61838,28326,14191,632,60362,41028,23409,10636,5943,1251,150667,111830,65083,36378,13882,829,63833,40565,23100,10088,5016,1307,167457,122776,62343,32963,14641,1082,60461,41998,20655,16468,7897,3302,166713,117956,63805,33174,13180,1208,150287,105451,57299,28874,13714,2993,150723,117156,61992,33314,12828,1672,150554,100196,59098,32415,15077,2318,183742,107123,59589,27680,14262,1770,150372,112055,63931,35815,9836,1728,159266,124743,59744,39384,11901,1995,135436,116411,66446,34902,17114,2276,149852,115849,61290,33848,14051
Raw Data (Em Spectrum),685,525,57024,38829,23536,11192,4567,540,160917,113421,62131,27535,13687,744,59986,41295,23887,11061,5983,1182,151579,111451,66232,37165,13030,1080,63343,40828,22165,10608,5093,1663,166316,119667,62146,32554,15190,1138,58965,40565,21391,15949,6639,3531,165018,115756,62730,33152,12345,1328,149536,104185,57127,29110,14241,2699,151739,117595,62234,32291,13322,1605,147829,98173,59841,31066,14081,2057,179157,106855,57068,26323,13643,1941,149580,110882,62307,33736,9280,1518,157386,123241,61022,39573,11980,1751,133966,113042,65663,34874,17029,2116,152337,114559,62613,35312,13439
Raw Data (Em Spectrum),686,635,56030,39557,22690,11028,4205,575,156775,111758,60160,27168,14567,787,57891,40101,22418,10861,5536,1452,150074,108959,64108,37726,13917,832,61566,39360,22766,11088,4704,1558,165685,118580,62187,31691,14794,1044,57452,40343,21435,15687,7185,3434,166819,115917,63261,32084,12646,1180,149227,101865,57089,28590,13917,2753,149923,113966,60825,32825,12994,1573,147064,96525,59086,31479,13886,2284,182597,106327,57482,27168,14250,2163,147714,109852,63094,34520,8834,1679,155852,121756,59570,38301,11315,1724,131544,113437,66831,33975,17593,2088,148788,114329,62625,33173,12933
Raw Data (Em Spectrum),687,643,56086,40315,22425,10875,4127,612,158199,111811,62740,27902,14296,659,58691,41617,22566,11958,5963,1350,148674,110666,65188,36643,13559,973,60715,39734,20777,10342,5257,1318,163660,119265,61861,34148,15049,1130,58691,40848,20463,16007,7250,3170,163550,115436,61971,31747,12962,1177,150557,102521,56400,29769,14076,2919,150902,116111,61233,33347,12680,1585,143228,98362,57891,31370,14830,2244,179322,106774,56306,27070,13621,1915,149301,108892,62661,34508,9431,1585,153695,121525,58581,38761,11958,1805,132510,113286,65235,34791,17843,2291,151059,114479,60904,34053,12539
Raw Data (Em Spectrum),688,554,54877,39438,21374,11347,4125,620,157734,113096,60828,27194,13825,864,58464,40497,21846,11021,5885,1549,149974,112558,63485,36617,13303,913,60290,40285,21683,10793,5168,1630,161664,118933,62230,32069,14934,1011,57306,38590,20510,14983,7271,3440,162430,113601,62018,32297,12684,1321,146094,102303,55431,28433,14494,3016,152191,116340,62621,31628,12554,1565,145719,97135,58154,32248,13907,2201,178635,104260,57828,25955,13515,2022,148963,109754,61333,33389,8755,1744,153561,121949,58072,37057,11429,1907,132497,113862,65213,34677,17820,2136,145882,114498,61496,33112,13287
Raw Data (Em Spectrum),689,677,55509,40218,22251,11041,4623,711,161175,111712,59928,27568,14174,847,58811,41623,23352,11024,5656,1236,151404,111424,63383,37186,13124,1050,59607,38626,21032,10211,4792,1693,167576,117926,62435,32936,14614,1338,58760,38948,21658,15308,6875,3353,165036,117384,63027,31124,13107,1355,150134,104312,55813,29532,13818,3116,148915,115945,59420,32919,12954,1812,146646,100332,59048,31226,13835,2218,178397,106378,56728,25722,13598,1998,147577,111068,62841,34375,8873,1524,155180,121889,59607,39489,11244,1812,132794,111932,63688,34020,17882,2269,149169,113693,62638,34934,13886
Raw Data (Em Spectrum),690,564,57663,39623,22586,11064,4281,599,164305,109601,60729,28259,14253,810,58262,40380,21441,11187,5585,1550,153029,109266,64411,37174,14411,1163,60517,39094,21617,10166,5285,1409,166507,120277,62332,32893,15627,1128,57223,39482,20542,15416,6589,3365,168709,116754,61680,32928,13090,1568,150774,103347,55990,29774,13671,2590,150422,114058,61310,33016,13372,1815,146651,101092,58474,31342,14447,2044,179491,107575,57029,25757,14482,2132,148906,108949,64746,34690,9478,1374,154808,122585,58773,38883,11152,1797,134795,114833,64235,33210,16790,2343,149435,115327,62015,34654,13354
Raw Data (Em Spectrum),691,680,55773,40534,22721,10772,4485,643,162265,113459,63218,28879,14669,790,58586,41619,22905,11085,5901,1397,153882,112558,66252,37887,13254,1029,62134,39027,23346,10221,4853,1673,168938,122282,62979,35001,15092,1324,56582,39633,21030,15386,6838,3511,170280,118790,63439,32887,12960,1250,149268,104267,56821,30479,14908,3566,154029,117264,62777,33199,13070,1654,148698,101124,59137,32997,13897,2298,183093,109010,59193,27556,13456,2261,151088,112907,64248,37317,9614,1802,157063,124930,60682,39486,11967,1710,132503,117337,64358,35240,18291,2335,156309,118018,63660,34780,13953
Raw Data (Em Spectrum),692,726,59111,40604,22957,10886,4488,668,167668,116713,63618,28228,15260,783,59703,41674,22823,11497,6093,1528,157871,116560,64821,37682,14190,1089,62090,41444,23396,10428,5329,1776,172539,125441,63332,34588,14954,1184,59875,39535,21238,15508,6914,3648,170743,121984,65222,33461,13541,1356,153382,106285,57392,30195,13637,3228,156457,121316,65757,34110,14324,1738,152332,101090,59989,32201,14591,2426,186290,112912,58595,27903,14668,2215,156400,114956,65452,35008,9645,1528,162722,127351,60982,40871,11994,1814,136327,120437,66617,36593,19042,2292,160124,119368,64840,35581,13999
Raw Data (Em Spectrum),693,832,60219,41176,23362,11235,4240,733,168826,118178,64558,28217,15535,991,61051,42167,23640,11909,5964,1466,161158,118555,69671,39175,13573,912,63825,40344,22035,10997,4815,1684,174137,126798,64301,35767,15654,1189,60278,41037,22708,15892,7034,3805,175960,120160,66421,35331,13573,1229,158701,109460,58079,29346,16031,3388,159018,120556,65113,34340,13692,1526,153945,102366,62478,33686,14723,2378,189097,112610,61705,27484,14921,2596,156105,116514,66560,37292,9492,1962,163120,129533,62557,41077,12880,2140,138866,120180,68898,35687,19360,2417,161217,121389,67332,37827,14089
Raw Data (Em Spectrum),694,701,60033,41967,24232,12002,4331,722,175664,125324,68942,29738,15508,846,62404,44545,24417,12291,6558,1815,164054,121963,67581,40297,15034,1093,64879,41534,24232,11301,5341,1712,180119,130047,68983,36172,16044,1279,60074,42586,22437,16416,7569,3774,181954,126974,67993,34502,14044,1567,163641,113755,61353,32563,15385,3444,165951,126438,67003,36647,14580,1774,160548,109589,65003,34502,15529,2475,192162,115858,64219,29325,14601,2578,161723,121488,69705,39142,9507,2104,170818,134027,65642,43906,12930,1939,145019,123303,69272,37471,20004,2867,163229,125242,69705,37905,14518
Raw Data (Em Spectrum),695,749,59806,42404,23674,12180,4602,749,177213,127382,68496,30930,16439,1027,64857,45721,24958,12458,6850,1584,169036,125327,72221,41226,14727,1134,66591,43281,23610,11687,5137,1648,184640,133696,67683,36988,16675,1456,63381,41804,24166,16996,8048,3703,187444,128366,69288,34933,13678,1520,166275,114860,63680,31829,15626,3403,167795,127810,65949,37031,14448,1926,162829,110750,64472,34912,16054,2633,200737,118863,62374,29539,15240,1991,164284,122245,70294,39471,10745,1969,174002,135880,68111,43987,12757,2569,146261,127082,72799,38058,19928,2676,171647,130657,69010,38379,14192
Raw Data (Em Spectrum),696,624,62074,45720,26180,13012,4634,847,184461,131589,71677,31549,15507,958,65728,45831,26202,12321,6484,1716,175972,128403,73838,42957,16020,1159,70139,42311,25199,11965,5637,2139,189586,138630,71699,38724,17223,1381,63745,44294,22659,17267,8177,4278,191390,136803,71989,37855,14304,1560,173321,121741,65349,33465,16243,3453,173477,130119,71031,37498,15463,1760,170068,113408,66218,37743,16688,2696,204982,124192,66017,31015,15351,2562,172764,125908,71721,39214,10717,1760,181342,138920,70785,43804,13413,1983,151107,133149,73125,38724,20342,2607,175215,133015,71699,37832,15931
